id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,price_total_zl_cleaned,price_per_m2_zl_cleaned
3738612,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-podhalanska-2-pokojowe-d9f3a6,ponad tydzień temu,20.0,Łódź Górna,ul. Podhalańska,Mieszkanie,2,37,True,368 000,9 946zł / m²,368000.0,9946.0
3738506,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-snycerska-2-pokojowe-n3s3a7,ponad tydzień temu,8.0,Łódź Bałuty,ul. Snycerska,Mieszkanie,2,50,True,399 000,7 980zł / m²,399000.0,7980.0
3738382,https://adresowo.pl/o/mieszkanie-lodz-ul-marszalkowska-3-pokojowe-w0l3x0,ponad tydzień temu,10.0,Łódź,ul. Marszałkowska,Mieszkanie,3,70,True,935 000,13 357zł / m²,935000.0,13357.0
3738206,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-wilenska-1-pokoj-k3j8n9,ponad tydzień temu,12.0,Łódź Polesie,ul. Wileńska,Mieszkanie,1,36,True,305 000,8 592zł / m²,305000.0,8592.0
3738036,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-3-pokojowe-f6l0o6,ponad tydzień temu,14.0,Łódź Śródmieście,ul. Piotrkowska,Mieszkanie,3,70,True,600 000,8 618zł / m²,600000.0,8618.0
3737864,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-3-pokojowe-67-m2-r3k1j5,ponad tydzień temu,8.0,Łódź Śródmieście,,Mieszkanie,3,67,True,468 000,6 985zł / m²,468000.0,6985.0
3737844,https://adresowo.pl/o/mieszkanie-lodz-retkinia-2-pokojowe-42-m2-k1a2o1,ponad tydzień temu,12.0,Łódź Retkinia,,Mieszkanie,2,43,True,340 000,7 925zł / m²,340000.0,7925.0
3737828,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-urzednicza-4-pokojowe-e6p4l6,ponad tydzień temu,15.0,Łódź Bałuty,ul. Urzędnicza,Mieszkanie,4,78,True,520 000,6 667zł / m²,520000.0,6667.0
3737712,https://adresowo.pl/o/mieszkanie-lodz-romanow-2-pokojowe-55-m2-f4p0z3,ponad tydzień temu,13.0,Łódź Romanów,,Mieszkanie,2,55,True,449 000,8 164zł / m²,449000.0,8164.0
3737644,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-pabianicka-1-pokoj-j0t9v2,ponad tydzień temu,9.0,Łódź Górna,ul. Pabianicka,Mieszkanie,1,26,True,246 404,9 477zł / m²,246404.0,9477.0
3737530,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-wschodnia-2-pokojowe-t3m5m9,ponad tydzień temu,7.0,Łódź Śródmieście,ul. Wschodnia,Mieszkanie,2,51,True,399 999,7 843zł / m²,399999.0,7843.0
3737460,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-ks-bp-wincentego-tymienieckiego-4-pokojowe-r1m1u7,ponad tydzień temu,8.0,Łódź Bałuty,ul. ks. bp. Wincentego Tymienieckiego,Mieszkanie,4,180,True,1 199 999,6 667zł / m²,1199999.0,6667.0
3737318,https://adresowo.pl/o/mieszkanie-lodz-polesie-2-pokojowe-38-m2-x6h1r6,ponad tydzień temu,8.0,Łódź Polesie,,Mieszkanie,2,38,True,390 000,10 263zł / m²,390000.0,10263.0
3736948,https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-38-m2-q4d6b6,ponad tydzień temu,8.0,Łódź Bałuty,,Mieszkanie,2,38,True,259 000,6 816zł / m²,259000.0,6816.0
3736870,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-andrzeja-struga-3-pokojowe-s5m3j8,ponad tydzień temu,20.0,Łódź Śródmieście,ul. Andrzeja Struga,Mieszkanie,3,85,True,520 000,6 118zł / m²,520000.0,6118.0
3736694,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lutomierska-3-pokojowe-u9s9r3,ponad tydzień temu,8.0,Łódź Bałuty,ul. Lutomierska,Mieszkanie,3,54,True,372 000,6 889zł / m²,372000.0,6889.0
