Lokalizacja,Ulica,Liczba Pokoi,Metraż (m²),Cena Całkowita (zł),Cena za m² (zł),Typ Oferty,Data Dodania,Liczba Zdjęć,Link do Oferty,Link do Zdjęcia
Łódź Berlinek,ul. Zgierska,2,47,425000,9043,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-berlinek-ul-zgierska-2-pokojowe-n6i7p9,https://s2.adresowa.pl/oi/37/2e/395e54_f6dc_cover-2-pokojowe-mieszkanie-lodz-berlinek-ul-zgierska.jpg
Łódź Bałuty,ul. Antoniego Mackiewicza,2,44,570000,13032,Bez pośredników,5 dni temu,10,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-antoniego-mackiewicza-2-pokojowe-a5s4t6,https://s2.adresowa.pl/oi/51/74/39c440_d596_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-antoniego-mackiewicza.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Teofilów,,2,45,300000,6667,Bez pośredników,5 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-teofilow-2-pokojowe-45-m2-v3e2v9,https://s2.adresowa.pl/oi/21/31/39c47c_480e_cover-2-pokojowe-mieszkanie-lodz-teofilow.jpg
Łódź Widzew,,3,55,420000,7636,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-widzew-3-pokojowe-55-m2-l9d3e5,https://s2.adresowa.pl/oi/74/35/39c392_ac7b_cover-3-pokojowe-mieszkanie-lodz-widzew.jpg
Łódź Bałuty,ul. Wojska Polskiego,1,36,280000,7863,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-wojska-polskiego-1-pokoj-z8r6h8,https://s2.adresowa.pl/oi/41/33/395e3e_279f_cover-1-pokojowe-mieszkanie-lodz-baluty-ul-wojska-polskiego.jpg
Łódź Śródmieście,ul. Piotrkowska,3,65,589999,9016,Oferta biura nieruchomości,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-3-pokojowe-h6d1m7,https://s2.adresowa.pl/oi/4a/68/395b9e_c04c_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg
Łódź,ul. Walerego Wróblewskiego,1,13,153000,11769,Bez pośredników,5 dni temu,1,https://adresowo.pl/o/mieszkanie-lodz-ul-walerego-wroblewskiego-1-pokoj-r3r3r5,https://s2.adresowa.pl/oi/3f/41/39c35e_82a0_cover-1-pokojowe-mieszkanie-lodz-ul-walerego-wroblewskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Olechów,ul. Zakładowa,4,85,899000,10576,Bez pośredników,5 dni temu,21,https://adresowo.pl/o/mieszkanie-lodz-olechow-ul-zakladowa-4-pokojowe-o0a4o5,https://s2.adresowa.pl/oi/3b/6e/39c324_471e_cover-4-pokojowe-mieszkanie-lodz-olechow-ul-zakladowa.jpg
